Datetime,H25
2014-10-31T00:00,346.951
2014-10-31T00:15,359.109
2014-10-31T00:30,315.965
2014-10-31T00:45,359.128
2014-10-31T01:00,238.311
2014-10-31T01:15,299.721
2014-10-31T01:30,173.405
2014-10-31T01:45,173.059
2014-10-31T02:00,173.6
2014-10-31T02:15,135.609
2014-10-31T02:30,259.673
2014-10-31T02:45,131.265
2014-10-31T03:00,216.103
2014-10-31T03:15,130.138
2014-10-31T03:30,183.402
2014-10-31T03:45,212.993
2014-10-31T04:00,203.035
2014-10-31T04:15,198.435
2014-10-31T04:30,244.086
2014-10-31T04:45,313.417
2014-10-31T05:00,228.917
2014-10-31T05:15,285.803
2014-10-31T05:30,213.804
2014-10-31T05:45,307.207
2014-10-31T06:00,249.639
2014-10-31T06:15,256.373
2014-10-31T06:30,132.889
2014-10-31T06:45,167.205
2014-10-31T07:00,222.415
2014-10-31T07:15,177.021
2014-10-31T07:30,173.292
2014-10-31T07:45,138.975
2014-10-31T08:00,332.882
2014-10-31T08:15,225.174
2014-10-31T08:30,288.258
2014-10-31T08:45,181.3
2014-10-31T09:00,279.804
2014-10-31T09:15,143.228
2014-10-31T09:30,218.978
2014-10-31T09:45,432.834
2014-10-31T10:00,207.691
2014-10-31T10:15,1472.369
2014-10-31T10:30,836.978
2014-10-31T10:45,212.603
2014-10-31T11:00,281.532
2014-10-31T11:15,305.929
2014-10-31T11:30,2079.222
2014-10-31T11:45,695.991
2014-10-31T12:00,385.146
2014-10-31T12:15,309.708
2014-10-31T12:30,255.512
2014-10-31T12:45,259.516
2014-10-31T13:00,1105.482
2014-10-31T13:15,718.405
2014-10-31T13:30,817.105
2014-10-31T13:45,549.071
2014-10-31T14:00,402.22
2014-10-31T14:15,378.21
2014-10-31T14:30,341.491
2014-10-31T14:45,422.512
2014-10-31T15:00,460.273
2014-10-31T15:15,485.162
2014-10-31T15:30,657.643
2014-10-31T15:45,789.612
2014-10-31T16:00,686.43
2014-10-31T16:15,1182.652
2014-10-31T16:30,1236.497
2014-10-31T16:45,491.523
2014-10-31T17:00,522.808
2014-10-31T17:15,469.344
2014-10-31T17:30,365.851
2014-10-31T17:45,411.494
2014-10-31T18:00,468.46
2014-10-31T18:15,454.197
2014-10-31T18:30,374.224
2014-10-31T18:45,436.851
2014-10-31T19:00,537.154
2014-10-31T19:15,409.372
2014-10-31T19:30,1046.963
2014-10-31T19:45,1525.635
2014-10-31T20:00,595.668
2014-10-31T20:15,605.031
2014-10-31T20:30,496.439
2014-10-31T20:45,568.682
2014-10-31T21:00,487.778
2014-10-31T21:15,394.428
2014-10-31T21:30,358.623
2014-10-31T21:45,423.734
2014-10-31T22:00,345.052
2014-10-31T22:15,371.247
2014-10-31T22:30,300.006
2014-10-31T22:45,288.87
2014-10-31T23:00,230.008
2014-10-31T23:15,215.954
2014-10-31T23:30,306.593
2014-10-31T23:45,229.502
2014-11-01T00:00,178.584
2014-11-01T00:15,132.355
2014-11-01T00:30,136.398
2014-11-01T00:45,262.484
2014-11-01T01:00,222.441
2014-11-01T01:15,131.974
2014-11-01T01:30,131.979
2014-11-01T01:45,183.863
2014-11-01T02:00,299.0
2014-11-01T02:15,136.703
2014-11-01T02:30,132.674
2014-11-01T02:45,160.916
2014-11-01T03:00,262.367
2014-11-01T03:15,187.442
2014-11-01T03:30,132.501
2014-11-01T03:45,132.482
2014-11-01T04:00,224.844
2014-11-01T04:15,257.71
2014-11-01T04:30,132.761
2014-11-01T04:45,132.708
2014-11-01T05:00,168.948
2014-11-01T05:15,272.582
2014-11-01T05:30,179.478
2014-11-01T05:45,132.676
2014-11-01T06:00,138.935
2014-11-01T06:15,253.458
2014-11-01T06:30,222.147
2014-11-01T06:45,131.811
2014-11-01T07:00,131.199
2014-11-01T07:15,257.184
2014-11-01T07:30,265.385
2014-11-01T07:45,214.547
2014-11-01T08:00,266.222
2014-11-01T08:15,278.939
2014-11-01T08:30,278.359
2014-11-01T08:45,184.924
2014-11-01T09:00,145.668
2014-11-01T09:15,296.607
2014-11-01T09:30,245.033
2014-11-01T09:45,278.714
2014-11-01T10:00,213.699
2014-11-01T10:15,314.708
